Date,Open,High,Low,Close,Volume
2011-03-02,8954376853.713554,8954376853.713554,8220385077.499654,8553149235.200000,0
2011-03-03,8247452206.320550,8258596788.982527,7979966824.358881,8059575773.866667,0
2011-03-04,8105749662.759091,8462396296.666657,8105749662.759091,8304771618.133333,0
2011-03-07,8118486193.145115,9248928580.721914,8118486193.145115,8997364804.266666,0
2011-03-08,8938453950.140581,9213900123.424877,8677337948.665516,8943230976.000000,0
2011-03-09,9076974038.779888,9804596481.844114,9076974038.779888,9747278506.666666,0
2011-03-10,10269513349.169493,10535405543.908541,10060938234.364927,10473311436.799999,0
2011-03-11,10635711334.732538,10702582457.594872,10092779735.467672,10196271104.000000,0
2011-03-14,10301355178.557961,10412807355.855394,9842809543.501238,10234484053.333334,0
2011-03-15,11173865720.443510,11527327651.380459,10390516678.076021,10591130965.333334,0
2011-03-16,10793335863.567972,11536879916.600536,10231298883.018465,11290093158.400000,0
2011-03-17,10796518786.912249,11000316804.019121,10451016838.319588,10858612872.533333,0
2011-03-18,10318870610.940916,10885683820.239201,10307725119.881878,10793337924.266666,0
2011-03-21,10317275136.282024,10455794391.071960,9963813272.202410,10181940565.333334,0
2011-03-22,10319677076.857574,10475938357.861139,10210133435.622929,10438886468.266666,0
2011-03-23,10493659181.940195,10759464115.192759,10097367990.593723,10150529160.533333,0
2011-03-24,9754236124.927975,9924995547.760437,9325726456.981356,9407883946.666666,0
2011-03-25,9349894207.438791,9480380494.407528,9164635627.240011,9456215654.400000,0
2011-03-28,9312839323.696276,9462657068.081820,9177520661.957975,9414328320.000000,0
2011-03-29,9456213077.747839,9702687413.677416,9158189602.133333,9158189602.133333,0
2011-03-30,8902053039.542351,9341839756.529985,8890776175.072193,9145305224.533333,0
2011-03-31,9137246208.093447,9469100238.781025,9085696156.379393,9359556608.000000,0
2011-04-01,9127584111.883036,9786458121.505125,9127584111.883036,9681746875.733334,0
2011-04-04,9620528655.739157,10108643060.615236,9573811934.524920,9934662314.666666,0
2011-04-05,9443328018.439283,9480379915.505672,9038982122.902342,9233905527.466667,0
2011-04-06,9000316849.372797,9109861401.575583,8811837021.508848,8821502771.200001,0
2011-04-07,8827945552.482178,9224236674.087732,8823113136.267864,8966486425.600000,0
